"SID","Q01_PrimaryMajor","Q02_AsuYears","Q03_InPersonOnline","Q04_MilestoCoorHall","Q05_TimeToCoorHall","Q06_LivingArrangement","Q07_PrimaryResidence","Q08_HighSchoolState","Q09_HoursOutsideADay","Q10_WorkWeekSleepHours","Q11_WeekendSleepHours","Q12_Beverages ","Q13_HoursForClass","Q14_MileRun","Q15_PushUps","Q16_OutdoorActivity","Q17_IndoorActivity","Q18_temperatureIndoor","Q19_Sunscreen","Q20_50States","Q21_LiveinTempe","Q22_PublicTranspoHowOften","Q24_PublicTranspoFrequency","Q25_PersonalVehicle","Q25_RideshareDays","Q26_BicycleDays","Q27_WeeklyCommuteTime","Q28_MonthlyGasolineCost","Q29_ParkingCost","Q30_DreamCar","Q31_SelfDriving","Q32_AbroadTravel","Q33_TravelToCampus","Q34_TravelOnCampus","Q35_LightRailConvenience","Q36_LightRailSafety","Q37_BikeSafetyWalkOnly","Q38_BikeSafetyMixedUse","Q39_GroceryStores","Q40_WalkingStore","Q41_WalkingPlaces","Q42_WalkingToTransit","Q43_noisefromcars","Q44_noisefromairplanes","Q45_QOLPresent","Q46_QOL10","Q47_ThreatFloods","Q48_ThreatExtremeHeat","Q49_ThreatAirPollution","Q50_ThreatDrought","Q51_ThreatLossOfNature","Q52_ThreatHousingAfford","Q53_ThreatPopGrowth","Q54_WildlifeCoyotes","Q55_WildlifeFoxes","Q56_WildlifeLizards","Q57_WildlifeRabbits","Q58_WildlifeSnakes","Q59_WildlifeScorpions","Q60_WildlifeBees","Q61_WildlifeCockRoaches","Q62_WildlifeBats","Q63_WorkHours","Q64_PetTypes","Q65_ZodiacSign","Q66_ComicUniverse","Q67_ArizonaSeason","Q68_BirthYear","Q69_Gender","Q70_Political","Q71_FavNumber","Q72_FavColor"
"S1",1,1,1,11,60,1,1,1,3,6,10,0,2,8,10,105,85,74,1,5,0,2,0,0,0,5,4.5,0,0,1,1,0,4,1,4,3,NA,NA,2,1,2,2,1,1,2,0,1,3,3,3,3,2,1,1,1,2,2,0,-2,1,-1,1,24,1,10,1,2,1996,1,2,77,3
"S2",1,1,2,1.5,30,1,3,2,8,8,10,5,5,20,20,91,80,75,3,5,1,1,0,0,2,0,4,0,0,2,1,1,4,1,4,3,3,3,2,2,2,2,2,2,3,2,1,3,3,2,1,3,3,-2,-2,-2,0,-2,-2,-1,-2,-2,0,0,4,0,1,2000,0,5,2,1
"S3",1,2,1,1.4,10,2,2,2,3,7,7,7,2,7.5,25,110,85,70,0,15,1,0,0,1,0,4,4,60,60,2,0,0,2,1,NA,NA,3,3,2,1,2,2,3,1,2,-2,1,3,3,2,2,3,3,-2,-1,2,2,-2,-1,0,0,2,10,3,7,0,2,2002,1,1,14,2
"S4",NA,2,1,18,45,1,1,2,2,8,10,7,3,20,10,105,90,72,2,20,0,0,0,1,0,0,12,35,220,3,1,1,3,1,NA,NA,NA,NA,2,2,1,2,0,0,3,1,2,3,2,3,1,2,3,2,2,2,2,-1,-1,1,-2,0,0,0,7,1,1,1998,1,3,7,3
"S5",2,3,1,0.6,12,2,2,2,6,8,7,2,7,8.5,40,100,90,70,1,10,1,2,-1,0,3,0,0,0,0,1,0,1,1,1,3,1,4,3,1,-2,-1,1,2,1,2,-1,2,2,3,3,3,3,3,1,1,2,2,1,-2,1,1,1,0,0,8,1,3,2001,1,5,77,1
"S6",1,2,2,22,40,1,1,1,1,6,8,0,2,8.2,15,105,85,77,2,8,0,3,0,1,0,0,2.4,53,0,1,1,0,NA,1,4,3,2,3,1,1,-1,-2,1,2,2,-1,3,3,3,3,3,3,0,2,1,2,2,0,-2,0,-2,-2,0,0,4,1,1,2002,1,4,11,1
"S7",2,2,1,3.8,15,1,1,1,1,7,9,5,2,12,0,90,85,78,4,12,1,2,1,1,0,0,3,75,135,1,1,0,3,1,4,3,3,3,1,-2,-2,0,2,0,2,-2,0,3,3,3,1,2,2,-1,-1,1,2,-2,-2,-2,-2,-1,32,2,3,1,1,2002,0,3,37,4
"S8",NA,2,1,2,20,1,2,2,3,7,9,3,1,6.5,45,110,80,73,3,14,1,0,0,1,0,0,8,70,0,3,1,1,3,1,3,NA,NA,NA,2,2,1,2,0,0,1,-2,1,3,3,3,3,2,3,1,2,2,2,-2,-2,1,-1,-1,15,1,1,2,1,2000,1,3,69,1
"S9",1,2,1,1,15,2,2,2,3,8,8,3,3,9,50,90,90,75,3,12,1,1,2,1,0,0,2,40,70,4,0,1,1,1,4,3,4,4,2,1,0,0,1,1,3,-1,2,3,2,3,3,2,2,2,2,2,2,0,-1,2,0,1,0,1,4,1,2,2002,1,3,42,3
"S10",NA,2,1,0.5,20,2,2,2,7,8,9,3,3,8,30,95,85,70,1,30,0,1,1,0,0,0,10,0,0,1,0,0,1,1,3,2,3,3,-1,-1,1,2,2,0,2,-1,1,3,3,3,3,2,2,-1,0,2,2,-1,-2,-2,-2,-1,0,2,11,1,1,2001,0,2,5,1
