"ID","Q01_Major","Q02_YearsatASU","Q03_ClassPref","Q04_CoorDist","Q05_TimetoTempe","Q06_OnOffCampus","Q07_WhereLive","Q08_HoursOfSleepWKDAY","Q09_HoursOfSleepWKND","Q10_CaffeBeverageAWeek","Q11_homemealsperaweek","Q12_StudyTimePerDay","Q13_MileTime","Q14_Pushups","Q15_TempOutdoorActivities","Q16_PrefIndoortemp","Q17_Thermostattemp","Q18_AwayHomeTemp","Q19_PubTransFreq","Q20_PubTransUsage","Q21_VehicleAccess","Q22_LyftUber","Q23_LyftUberPostCovid","Q24_BikeRides2019","Q25_BikeRidesCo19","Q26_MonTransportCost19","Q27_MonTransportCost20","Q28_DailyHoursOutside","Q29_ValleyMetroCleanliness","Q30_LRSSafety","Q31_ValleyMetroConvenience","Q32_GroceryShop","Q33_WalkingDistance","Q34_PlacesToGoNear","Q35_TransitWalk","Q36_CovidTesting","Q37_MaybeHadCOVID","Q38_PeopleHadCOVID","Q39_TimesTestedCOVID","Q40_CovidPhysicalHealth","Q41_CovidMentalHealth","Q42_CovidRelationships","Q43_CovidIncome","Q44_CovidLearning","Q45_MoneySpentHygiene","Q46_COVIDVaccine","Q47_FluShot","Q48_MandatedMasks","Q49_GetCovidProb","Q50_GetCovidImpact","Q51_ASUCovidPlan","Q52_AZCOVID19","Q53_USCovidPlan","Q54_InPersonThisSemester","Q55_ASUCampus","Q56_ASUClassSwitch","Q57_TrustOtherStudents","Q58_TrustStaff","Q59_WorkHoursPerWeek","Q60_NumofPets","Q61_ZodiacSign","Q62_BirthYear","Q63_Gender","Q64_PoliticalOrientation","Q65_Married","Q66_FavoriteNumber","Q67_FavoriteASUColor"
"S01","1",5,1,20,45,2,1,8,10,2,4,3,12,15,80,80,80,85,"1",5,0,0,0,0,3,60,30,2,30,"20",10,"5","2",1,1,"2","2",5,2,"3","4",5,"3","4",50,"0",0,0,"1","1","0",0,"0","2",2,"3","2","3",16,0,"8",1997,"1",14,"2",19,"1"
"S02",NA,1,1,30,35,2,1,8,6,0,6,2,6,NA,NA,NA,75,75,"1",1,0,0,0,0,0,40,40,0,NA,NA,NA,"4","2",2,2,"2","2",0,0,"3","4",5,"2","3",50,"0",1,0,"0","1","1",2,"1","0",2,"1","2","3",NA,0,NA,1999,"1",15,"2",25,"4"
"S03","1",3,1,7,15,2,1,7,6,4,1,2,15,2,80,75,78,80,"1",3,0,0,0,0,0,60,25,0.5,30,"40",10,"4","3",2,4,"2","2",2,0,"1","3",2,"2","4",200,"2",2,0,"1","0","2",1,"0","0",2,"2","2","4",25,0,"9",2000,"0",12,"2",7,"3"
"S04","1",1,1,6213.7,840,2,3,8,8,0,5,2,8,30,77,68,68,NA,"3",3,0,6,0,0,0,73,73,2,50,"50",30,"5","5",5,5,"2","2",0,1,"5","5",5,"5","4",80,"0",0,0,"1","2","2",0,"0","2",0,"2","3","3",0,3,"7",2000,"1",15,"2",88,"3"
"S05","2",2,1,1,5,2,1,6,8,2,5,2,6,70,80,68,68,75,"1",3,0,1,0,7,4,100,50,2,30,"20",50,"5","5",5,5,"0","0",10,1,"5","2",5,"5","5",200,"0",0,0,"1","0","2",1,"2","2",0,"3","1","4",15,1,"4",2001,"1",12,"2",7,"3"
"S06","1",1,1,21,26,2,1,7,10,0,5,3,8,50,82,78,78,80,"2",2,0,1,0,0,0,60,60,1,30,"40",30,"5","4",3,2,"0","0",2,1,"4","3",5,"4","4",75,"1",1,0,"1","1","0",1,"0","2",0,"3","1","3",20,0,"11",1999,"1",15,"2",25,"3"
"S07","2",1,1,4,10,2,2,7,9,7,7,4,12,25,65,77,77,79,"1",3,0,0,0,0,0,60,60,1,NA,NA,NA,"4","2",2,5,"2","0",5,0,"4","2",4,"5","5",80,"0",0,0,"1","0","0",0,"0","2",2,"3","1","4",0,0,"2",1999,"0",13,"2",5,"4"
"S08","2",2,1,10,20,2,1,7,7,7,7,4,25,3,75,70,70,76,"4",3,0,1,0,1,0,250,200,3,30,"40",30,"5","4",5,5,"2","2",4,1,"5","4",5,"3","5",150,"0",0,0,"1","2","1",0,"0","2",2,"3","2","3",20,0,"0",2001,"0",15,"2",13,"1"
"S09","2",2,1,10,15,2,1,7,8,0,3,2,12,20,80,80,80,82,"1",4,2,0,0,0,0,20,0,0,30,"30",30,"5","5",4,4,"2","2",1,1,"2","4",2,"2","4",25,"2",0,0,"1","1","1",2,"2","2",0,"3","3","4",10,0,"3",2001,"1",14,"2",3,"1"
"S10","1",3,2,400,15,2,1,5,7,3,3,3,10.01,22,74,80,77,69,"1",2,0,4,2,2,1,70,40,8,50,"40",40,"5","4",5,4,"2","2",2,6,"5","4",1,"5","5",100,"0",1,0,"1","1","3",2,"2","0",2,"2","4","4",NA,0,"4",NA,"1",15,"2",10,"4"
"S11","1",3,1,26,50,2,1,7,8,5,4,5,6.5,30,65,70,75,78,"1",5,0,0.2,0,0,0,625,575,2,30,"50",50,"5","1",2,2,"2","0",2,0,"2","4",1,"2","2",50,"0",0,0,"1","0","2",1,"0","0",2,"2","2","3",30,2,"10",2000,"1",14,"2",72,"2"
"S12","1",2,1,13,30,2,1,7,7,0,3,6,12,25,75,75,75,77,"1",5,0,1,0,0,0,90,90,4,40,"40",20,"2","4",4,5,"2","0",2,1,"3","2",5,"4","4",25,"1",2,0,"0","1","2",2,"1","0",2,"3","3","4",25,2,"9",1996,"1",13,"2",7,"1"
"S13","2",2,1,1.5,15,2,1,9,8,0,6,2,7,20,72,76,76,80,"1",4,2,0,0,4,7,600,300,2.5,NA,NA,NA,"5","4",4,5,"2","0",3,0,"5","4",2,"4","4",100,"0",0,0,"1","0","1",0,"0","2",2,"3","1","3",0,1,"7",2000,"1",14,"2",24,"3"
"S14","2",2,1,1,5,1,2,7,8,1,5,2,10,2,78,70,70,70,"3",3,2,5,0,2,0,40,60,2,20,"30",30,"5","4",5,5,"2","0",10,5,"2","4",5,"2","4",100,"0",0,0,"1","0","1",0,"0","2",2,"2","1","3",13,0,"9",2001,"0",14,"2",12,"1"
"S15",NA,3,2,2.4,10,2,1,4,7,7,7,4,15,10,77,NA,70,76,"2",1,2,300,50,0,0,300,100,2,20,"30",40,"4","4",4,5,"2","2",4,2,"4","5",5,"4","2",100,"0",1,0,"0","1","1",0,"0","2",0,"2","2","3",0,0,"4",1998,"1",15,"2",9,"3"
"S16","1",1,1,13,30,2,1,6,8,0,2,4,10,15,80,70,70,70,"2",1,0,2,0,0,0,50,25,3,40,"40",40,"4","2",4,5,"2","0",1,0,"4","4",4,"2","5",20,"1",2,0,"1","1","2",2,"2","0",2,"2","2","3",20,6,"5",2000,"1",14,"2",3,"3"
"S17","1",1,1,18,30,2,3,7,8,3,6,5,10,1,75,78,50,50,"1",4,0,2,0,0,0,100,20,3,40,"40",30,"5","1",1,1,"2","0",1,0,"4","4",4,"2","4",100,"1",2,0,"1","2","1",1,"0","0",0,"1","1","3",0,0,"0",1999,"0",15,"2",94,"4"
"S18","1",2,1,15,30,2,1,8,8,7,5,1,14,2,85,80,82,84,"2",5,0,0,0,0,0,40,20,2,30,"40",20,"5","4",4,5,"2","0",4,0,"2","4",2,"5","5",50,"1",2,0,"1","1","0",0,"0","2",0,"3","1","1",0,1,"5",2001,"0",14,"2",2,"2"
"S19","2",1,2,30,100,2,1,7,10,5,7,4,16,20,80,74,76,76,"4",1,2,0,0,0,0,250,25,5,30,"30",30,"5","4",3,3,"2","0",4,0,"3","5",5,"4","1",750,"0",0,0,"2","0","1",0,"0","2",0,"3","3","4",24,1,"10",1999,"1",14,"2",44,"3"
"S20","2",4,1,10,20,2,1,5,6,2,3,3,10,10,80,75,76,80,"1",3,0,0,0,0,0,50,50,2,30,"30",10,"4","2",3,5,"2","2",2,0,"3","5",5,"2","5",100,"1",0,0,"1","1","2",0,"0","2",2,"2","1","3",15,0,"1",1991,"1",13,"0",21,"3"
"S21","2",2,1,2,15,2,1,7,9,0,7,3,6.5,80,70,70,70,80,"1",3,0,0,0,0,1,20,200,0,NA,NA,NA,"4","2",3,3,"2","2",0,0,"3","5",1,"5","5",NA,"1",0,2,"0","0","0",0,"0","0",2,"2","1","1",24,0,"8",1999,"1",12,"2",5,"3"
"S22",NA,2,2,1.4,15,2,1,6.5,8.5,4,3,2,12,NA,72,72,NA,70,"4",3,2,3,1,0,0,100,40,1.5,30,"40",40,"5","5",3,4,"2","2",2,0,"4","1",3,"2","2",50,"1",1,0,"0","0","3",2,"1","0",2,"2","3","4",NA,0,"11",1999,"1",15,"2",7,"3"
"S23","1",2,1,4,12,2,1,9,10,3,5,2,9,40,85,72,70,75,"2",4,0,2,0,0,0,100,150,1,30,"40",40,"4","4",3,3,"2","0",1,0,"3","2",2,"2","3",200,"0",0,0,"0","0","1",0,"0","2",0,"3","1","4",15,0,"6",2000,"1",13,"2",55,"4"
"S24","1",3,1,1,0,1,1,6,12,1,6,4,9,NA,75,75,75,75,"2",5,0,1,0,0,0,45,30,1,30,"20",30,"4","4",5,5,"2","2",1,2,"4","5",5,"4","5",200,"0",1,0,"2","1","0",0,"0","2",2,"3","2","3",NA,0,"2",2000,"0",14,"2",88,"2"
"S25","2",4,1,2,24,2,1,8,9,1,6,3,13,10,78,80,78,80,"3",4,2,0,0,14,0,20,15,2,30,"30",40,"3","5",4,4,"2","2",1,0,"3","4",2,"3","5",50,"0",2,0,"0","1","1",1,"1","0",2,"2","2","3",0,0,"10",1999,"0",14,"2",7,"1"
"S26","1",5,1,1.5,6,2,1,9.5,8,4,4,3,7.5,45,75,85,77,NA,"4",3,0,5,1,0,0,80,45,3,20,"10",50,"5","4",4,5,"2","2",30,1,"5","5",1,"4","5",100,"1",0,0,"1","1","0",1,"1","0",2,"3","2","4",8,1,"2",1998,"1",13,"2",18,"2"
"S27","2",4,1,6,15,2,1,6,7,5,5,1,10,7,70,76,76,80,"3",3,0,1,0,0,0,30,30,3,30,"30",50,"4","1",1,2,"2","2",2,0,"5","5",1,"5","5",300,"0",0,0,"2","2","0",0,"0","2",0,"3","1","1",0,4,"1",1998,"1",14,"2",2,"3"
"S28","1",4,1,19,20,2,1,7,8,6,5,1,8,25,75,76,77,80,"2",NA,0,2,2,0,0,120,100,2,30,"30",30,"5","2",4,NA,"2","0",3,1,"4","4",2,"2","2",100,"0",0,0,"1","1","0",0,"0","2",0,"3","1","3",25,0,"5",1993,"1",14,"2",23,"3"
"S29","1",3,1,1.5,2,1,1,6.5,7.5,7,4,3,12,5,80,78,75,80,"3",2,2,4,2,0,0,200,100,5,30,"30",30,"5","4",5,5,"2","0",10,4,"5","5",5,"2","4",350,"0",1,0,"2","1","0",1,"1","2",2,"2","1","3",10,2,"6",2000,"0",13,"2",29,"3"
