Year,Station,Tmax,Tmin,Precip,,,,,,,,,,,,,,,,,,,,,,
1972,KPHX,102.2,77.5,1.2,,,,,,,,,,,,,,,,,,,,,,
1973,KPHX,106.1,80.6,T,,,,,,,,,,,,,,,,,,,,,,
1974,KPHX,104.9,77.5,1.15,,,,,,,,,,,,,,,,,,,,,,
1975,KPHX,106,77.7,T,,,,,,,,,,,,,,,,,,,,,,
1976,KPHX,103.1,78.3,0.12,,,,,,,,,,,,,,,,,,,,,,
1977,KPHX,105.1,83.1,0.18,,,,,,,,,,,,,,,,,,,,,,
1978,KPHX,105.1,77.7,1.79,,,,,,,,,,,,,,,,,,,,,,
1979,KPHX,102.5,76.3,1.18,,,,,,,,,,,,,,,,,,,,,,
1980,KPHX,102.9,81.5,0.06,,,,,,,,,,,,,,,,,,,,,,
1981,KPHX,106.8,84.7,0.11,,,,,,,,,,,,,,,,,,,,,,
1982,KPHX,104.1,83.3,1.97,,,,,,,,,,,,,,,,,,,,,,
1983,KPHX,103.8,81.3,2.48,,,,,,,,,,,,,,,,,,,,,,
1984,KPHX,101.9,80.5,0.87,,,,,,,,,,,,,,,,,,,,,,
1985,KPHX,105.8,83.1,0.21,,,,,,,,,,,,,,,,,,,,,,
1986,KPHX,105.5,83.4,1.27,,,,,,,,,,,,,,,,,,,,,,
1987,KPHX,103.9,80.5,0.45,,,,,,,,,,,,,,,,,,,,,,
1988,KPHX,104.7,83,0.63,,,,,,,,,,,,,,,,,,,,,,
1989,KPHX,105.3,82,1.11,,,,,,,,,,,,,,,,,,,,,,
1990,KPHX,102,79.5,2.7,,,,,,,,,,,,,,,,,,,,,,
1991,KPHX,105.3,83.6,0.12,,,,,,,,,,,,,,,,,,,,,,
1992,KPHX,103.5,81,1.3,,,,,,,,,,,,,,,,,,,,,,
1993,KPHX,102.9,80.2,0.55,,,,,,,,,,,,,,,,,,,,,,
1994,KPHX,105.9,84.6,0.02,,,,,,,,,,,,,,,,,,,,,,
1995,KPHX,106.1,83.2,3.5,,,,,,,,,,,,,,,,,,,,,,
1996,KPHX,104.7,83.4,0.34,,,,,,,,,,,,,,,,,,,,,,
1997,KPHX,103.1,82.7,1.39,,,,,,,,,,,,,,,,,,,,,,
1998,KPHX,105.6,83.7,1.05,,,,,,,,,,,,,,,,,,,,,,
1999,KPHX,103.9,82.1,0.92,,,,,,,,,,,,,,,,,,,,,,
2000,KPHX,102.6,82.3,0.58,,,,,,,,,,,,,,,,,,,,,,
2001,KPHX,105.5,83.9,0.46,,,,,,,,,,,,,,,,,,,,,,
2002,KPHX,106.2,83.9,T,,,,,,,,,,,,,,,,,,,,,,
2003,KPHX,104.5,84.7,0.51,,,,,,,,,,,,,,,,,,,,,,
2004,KPHX,103.8,81.6,0.36,,,,,,,,,,,,,,,,,,,,,,
2005,KPHX,102.8,81.6,1.21,,,,,,,,,,,,,,,,,,,,,,
2006,KPHX,103,82.1,1.26,,,,,,,,,,,,,,,,,,,,,,
2007,KPHX,106.3,86.1,0.31,,,,,,,,,,,,,,,,,,,,,,
2008,KPHX,103.9,82,3.55,,,,,,,,,,,,,,,,,,,,,,
2009,KPHX,107.2,83.2,0.29,,,,,,,,,,,,,,,,,,,,,,
2010,KPHX,104.6,83.4,0.38,,,,,,,,,,,,,,,,,,,,,,
2011,KPHX,109,87.5,0.17,,,,,,,,,,,,,,,,,,,,,,
2012,KPHX,105.8,84.9,1.45,,,,,,,,,,,,,,,,,,,,,,
2013,KPHX,105.3,84.1,0.36,,,,,,,,,,,,,,,,,,,,,,
2014,KPHX,102.3,80.8,1.17,,,,,,,,,,,,,,,,,,,,,,
2015,KPHX,107.7,85.6,1.29,,,,,,,,,,,,,,,,,,,,,,
2016,KPHX,102.9,80.9,1.27,,,,,,,,,,,,,,,,,,,,,,
2017,KPHX,105.4,82.6,1.43,,,,,,,,,,,,,,,,,,,,,,
2018,KPHX,105,83.1,1.5,,,,,,,,,,,,,,,,,,,,,,
2019,KPHX,108.2,85.4,0.24,,,,,,,,,,,,,,,,,,,,,,
2020,KPHX,110.7,87.4,0.9,,,,,,,,,,,,,,,,,,,,,,
2021,KPHX,103.2,81.9,1.54,,,,,,,,,,,,,,,,,,,,,,
1972,KNYL,102.2,77.9,0.26,,,,,,,,,,,,,,,,,,,,,,
1973,KNYL,105.4,78.4,0.36,,,,,,,,,,,,,,,,,,,,,,
1974,KNYL,105.8,77.6,T,,,,,,,,,,,,,,,,,,,,,,
1975,KNYL,106.3,78.3,T,,,,,,,,,,,,,,,,,,,,,,
1976,KNYL,104,77,0,,,,,,,,,,,,,,,,,,,,,,
1977,KNYL,103.2,80.9,2.96,,,,,,,,,,,,,,,,,,,,,,
1978,KNYL,105.5,78,0.24,,,,,,,,,,,,,,,,,,,,,,
1979,KNYL,103.5,78.5,1.42,,,,,,,,,,,,,,,,,,,,,,
1980,KNYL,105.7,79.4,0.05,,,,,,,,,,,,,,,,,,,,,,
1981,KNYL,109.3,81.6,0.32,,,,,,,,,,,,,,,,,,,,,,
1982,KNYL,105.1,81.1,0.93,,,,,,,,,,,,,,,,,,,,,,
1983,KNYL,103.1,79.2,2.64,,,,,,,,,,,,,,,,,,,,,,
1984,KNYL,104.6,80.1,1.08,,,,,,,,,,,,,,,,,,,,,,
1985,KNYL,108.3,80.7,0.02,,,,,,,,,,,,,,,,,,,,,,
1986,KNYL,107.8,83.3,0.19,,,,,,,,,,,,,,,,,,,,,,
1987,KNYL,106.4,79.9,0.68,,,,,,,,,,,,,,,,,,,,,,
1988,KNYL,106.3,79.6,1.17,,,,,,,,,,,,,,,,,,,,,,
1989,KNYL,105.5,78.7,3.44,,,,,,,,,,,,,,,,,,,,,,
1990,KNYL,106.7,79.2,0.07,,,,,,,,,,,,,,,,,,,,,,
1991,KNYL,106.5,81.4,T,,,,,,,,,,,,,,,,,,,,,,
1992,KNYL,106.3,81.6,0.28,,,,,,,,,,,,,,,,,,,,,,
1993,KNYL,105.6,78.8,0.15,,,,,,,,,,,,,,,,,,,,,,
1994,KNYL,109.4,84.7,0.06,,,,,,,,,,,,,,,,,,,,,,
1995,KNYL,108.7,85.5,T,,,,,,,,,,,,,,,,,,,,,,
1996,KNYL,107.5,83.2,0.29,,,,,,,,,,,,,,,,,,,,,,
1997,KNYL,106.8,84.9,T,,,,,,,,,,,,,,,,,,,,,,
1998,KNYL,108.2,85.1,0.24,,,,,,,,,,,,,,,,,,,,,,
1999,KNYL,105.8,82.4,0.08,,,,,,,,,,,,,,,,,,,,,,
2000,KNYL,105,83,0.44,,,,,,,,,,,,,,,,,,,,,,
2001,KNYL,105.6,82.4,0.12,,,,,,,,,,,,,,,,,,,,,,
2002,KNYL,107,80.9,T,,,,,,,,,,,,,,,,,,,,,,
2003,KNYL,104.9,83.4,0.29,,,,,,,,,,,,,,,,,,,,,,
2004,KNYL,106.5,82.6,0,,,,,,,,,,,,,,,,,,,,,,
2005,KNYL,105.6,82.5,1.82,,,,,,,,,,,,,,,,,,,,,,
2006,KNYL,106.4,82.6,T,,,,,,,,,,,,,,,,,,,,,,
2007,KNYL,107.4,83.9,T,,,,,,,,,,,,,,,,,,,,,,
2008,KNYL,104,82,0.59,,,,,,,,,,,,,,,,,,,,,,
2009,KNYL,107.7,81,0.01,,,,,,,,,,,,,,,,,,,,,,
2010,KNYL,107.2,82.3,0.29,,,,,,,,,,,,,,,,,,,,,,
2011,KNYL,109.8,84.4,0.03,,,,,,,,,,,,,,,,,,,,,,
2012,KNYL,106.2,84.4,0.12,,,,,,,,,,,,,,,,,,,,,,
2013,KNYL,105.4,81.2,0.22,,,,,,,,,,,,,,,,,,,,,,
2014,KNYL,105,81.8,0.49,,,,,,,,,,,,,,,,,,,,,,
2015,KNYL,109.5,86.1,T,,,,,,,,,,,,,,,,,,,,,,
2016,KNYL,106.5,83.8,0.08,,,,,,,,,,,,,,,,,,,,,,
2017,KNYL,107.6,84.2,0.09,,,,,,,,,,,,,,,,,,,,,,
2018,KNYL,106.6,84.7,0.02,,,,,,,,,,,,,,,,,,,,,,
2019,KNYL,108.7,82.9,T,,,,,,,,,,,,,,,,,,,,,,
2020,KNYL,110.5,84.6,0,,,,,,,,,,,,,,,,,,,,,,
2021,KNYL,105.4,82.5,0.38,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
