Year,JuneAvgTMax,JulyAvgTMax
1991,100.6,106.4
1992,103.1,104.6
1993,103,104.6
1994,105.9,105.8
1995,100,107.3
1996,105.5,106.2
1997,100.4,106
1998,98.7,105.8
1999,100.5,101.6
2000,103,106.5
2001,105.1,104.9
2002,107.3,107.2
2003,105,108.7
2004,104.5,106
2005,103.1,109.5
2006,107.4,106.6
2007,105.8,106.8
2008,106.7,105.7
2009,100,109.5
2010,104.6,106.6
2011,104.3,106.9
2012,106.5,104.6
2013,108.4,105.7
2014,106.2,107.1
2015,105.9,105.1
2016,107.4,108.3
2017,107.9,106.2
2018,105.4,107.5
2019,104,108.2
2020,105,109.8
2021,108.2,103.6
2022,106.5,107.5
2023,103.3,114.7
