Date,Total,Black Mountain Precinct,Cactus Park Precinct,Central City Precinct,Desert Horizon Precinct,Estrella Mt Precinct,Maryvale/Estrella Precinct,Mountain View Precinct,Precinct Not Available,Out of City,Sky Harbor International Airport,South Mountain Precinct,Female,Male,Gender Not Available,Black or African American,Hispanic,Other,White,AgeLess20,Age20s,Age30s,Age40s,Age50s,Age60s,Age70s,Age80s,Age90s,Age Not Available,Criminal Felony,Criminal Misdemeanor,No Charge,Traffic Civil,Traffic Criminal
7/1/2020,16,,,,,,7,9,,,,,7,9,,4,12,,,6,2,6,,1,1,,,,,,,16,,
7/2/2020,2,,,2,,,,,,,,,,2,,,,2,,,2,,,,,,,,,2,,,,
7/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2020,4,,,,2,,,2,,,,,,4,,2,,,2,1,,2,1,,,,,,,2,,2,,
7/5/2020,2,,,,1,,,1,,,,,,2,,1,1,,,,,,2,,,,,,,1,,1,,
7/6/2020,15,6,,,,,5,3,,,,1,2,13,,1,5,2,7,1,6,3,3,,1,1,,,,1,,14,,
7/7/2020,23,3,,1,6,,5,5,,,,3,7,16,,5,12,2,4,3,9,5,5,1,,,,,,,,23,,
7/8/2020,5,,2,1,1,,,1,,,,,,5,,2,1,,2,,2,3,,,,,,,,,,5,,
7/9/2020,8,,1,,,,5,1,,,,1,1,7,,3,5,,,1,4,1,2,,,,,,,,,8,,
7/10/2020,7,,1,,1,,3,1,,,,1,,7,,2,2,1,2,,2,1,1,1,,1,,,1,1,,6,,
7/11/2020,7,,1,1,2,,,2,,,,1,,7,,3,2,1,1,,4,,1,1,1,,,,,,,7,,
7/12/2020,12,,2,2,2,,4,2,,,,,4,8,,3,7,1,1,1,5,4,,2,,,,,,1,,11,,
7/13/2020,15,,2,,1,,8,1,,,,3,5,10,,1,12,,2,1,2,5,5,1,1,,,,,,,15,,
7/14/2020,14,1,8,,1,,,,,1,,3,3,11,,1,6,,7,4,3,3,3,1,,,,,,,,14,,
7/15/2020,13,2,,,,,8,1,,1,,1,2,11,,5,5,,3,3,4,3,3,,,,,,,,,13,,
7/16/2020,8,1,3,,,,2,1,,1,,,,8,,1,3,,4,,3,4,1,,,,,,,,,8,,
7/17/2020,27,,2,,1,,23,1,,,,,14,13,,,26,,1,11,8,4,3,1,,,,,,,,27,,
7/18/2020,5,,,,1,,1,1,,,,2,,5,,,4,,1,,1,4,,,,,,,,,,5,,
7/19/2020,9,,1,4,,,,,,4,,,1,8,,4,4,1,,4,2,1,2,,,,,,,1,,8,,
7/20/2020,11,,,3,,6,1,1,,,,,3,8,,4,5,1,1,1,6,3,1,,,,,,,,,11,,
7/21/2020,7,,,2,5,,,,,,,,3,4,,1,3,,3,,3,3,,1,,,,,,,,7,,
7/22/2020,7,,,,1,,2,1,,,,3,2,5,,5,,,2,,3,1,1,,,1,,,1,,,7,,
7/23/2020,8,,1,2,3,,1,1,,,,,1,7,,1,2,,5,,3,3,,1,1,,,,,,,8,,
7/24/2020,9,1,3,,,1,2,,,,,2,1,8,,1,6,,2,2,1,5,,1,,,,,,,,9,,
7/25/2020,7,,1,,3,,2,,,1,,,1,6,,2,3,1,1,,2,2,3,,,,,,,,,7,,
7/26/2020,19,,1,6,2,,4,3,,3,,,5,13,1,4,6,1,8,2,7,1,2,2,3,1,,,1,1,1,17,,
7/27/2020,13,2,3,1,1,1,2,,,2,,1,,13,,1,9,,3,2,2,5,2,1,1,,,,,,,13,,
7/28/2020,5,,1,1,,,2,1,,,,,2,3,,,3,,2,,1,2,2,,,,,,,,,5,,
7/29/2020,16,4,8,,2,,,,,2,,,4,12,,1,4,,11,1,5,6,1,3,,,,,,,,16,,
7/30/2020,11,,3,,,,6,,,,,2,2,9,,3,5,,3,1,4,3,1,,1,1,,,,,,11,,
7/31/2020,9,,2,2,1,,3,,,,,1,3,6,,4,5,,,,4,4,1,,,,,,,,,9,,
8/1/2020,7,,,,,1,1,2,,,,3,1,6,,,7,,,1,3,2,,,1,,,,,1,,6,,
8/2/2020,10,,1,,,,2,5,,,,2,,10,,1,7,1,1,1,4,2,2,1,,,,,,1,2,7,,
8/3/2020,10,,2,,1,,5,1,,,,1,2,8,,1,3,,6,2,1,4,2,1,,,,,,,1,9,,
8/4/2020,27,1,2,3,3,1,10,4,,3,,,7,20,,4,14,,9,5,13,5,3,1,,,,,,,,27,,
8/5/2020,38,3,3,,4,1,17,1,,4,,5,14,24,,5,22,1,10,15,6,11,,1,4,,1,,,,1,37,,
8/6/2020,20,,1,,2,,1,2,,7,,7,7,13,,9,8,,3,4,7,4,3,2,,,,,,2,,18,,
8/7/2020,16,7,,,,,4,4,,,,1,5,11,,6,6,,4,5,4,3,3,1,,,,,,,1,15,,
8/8/2020,7,,1,,1,,4,1,,,,,1,6,,,4,,3,1,2,4,,,,,,,,,,7,,
8/9/2020,10,,3,1,2,1,2,1,,,,,,10,,3,1,,6,2,2,2,1,3,,,,,,,,10,,
8/10/2020,4,,,,,1,1,2,,,,,,4,,2,,,2,,1,2,,1,,,,,,,,4,,
8/11/2020,25,2,6,1,1,,10,,,,,5,8,17,,5,13,1,6,7,6,7,3,2,,,,,,,,25,,
8/12/2020,17,2,,3,2,,2,5,,2,,1,5,12,,6,8,1,2,5,8,1,3,,,,,,,1,1,15,,
8/13/2020,33,6,2,,9,1,,15,,,,,8,25,,8,15,,10,9,12,7,3,1,1,,,,,5,,28,,
8/14/2020,16,2,1,2,,,9,2,,,,,3,13,,6,4,,6,2,6,3,2,2,1,,,,,,,15,1,
8/15/2020,11,2,2,1,2,,,,,,,4,1,10,,2,4,,5,1,3,3,3,1,,,,,,,,11,,
8/16/2020,15,1,3,,1,2,3,2,,,,3,5,10,,2,9,2,2,2,5,5,1,2,,,,,,,,15,,
8/17/2020,14,,2,2,4,3,1,1,,,,1,1,13,,4,4,,6,2,4,6,1,1,,,,,,1,,13,,
8/18/2020,16,,5,,2,1,,6,,2,,,4,12,,10,3,1,2,,7,4,3,1,1,,,,,,,16,,
8/19/2020,27,,3,,,,4,,,2,,18,9,18,,5,12,2,8,,7,7,11,,1,1,,,,,,27,,
8/20/2020,23,,,,2,1,11,5,,2,,2,3,20,,4,12,,7,6,7,5,1,1,2,1,,,,,,23,,
8/21/2020,6,,,1,,,3,2,,,,,1,5,,2,,,4,1,3,1,1,,,,,,,,,6,,
8/22/2020,18,,8,1,5,,,3,,,,1,4,14,,5,5,1,7,9,4,4,1,,,,,,,,,18,,
8/23/2020,19,,2,,4,9,1,3,,,,,2,17,,5,4,1,9,1,4,3,3,7,1,,,,,,,19,,
8/24/2020,7,1,,,,3,,,,,,3,2,5,,,4,,3,2,2,2,1,,,,,,,,,7,,
8/25/2020,8,1,,,3,,2,,,,,2,1,7,,1,5,,2,,2,5,1,,,,,,,,,8,,
8/26/2020,7,,1,1,,,4,,,,,1,1,6,,3,4,,,2,2,1,1,1,,,,,,,,7,,
8/27/2020,21,,2,,,,5,4,,9,,1,9,12,,10,9,1,1,2,8,5,3,2,,,,,1,,,21,,
8/28/2020,10,3,2,1,,,2,1,,1,,,1,9,,,5,,5,1,1,4,1,2,1,,,,,,,10,,
8/29/2020,8,,4,,,,1,2,,,,1,1,7,,1,4,,3,,3,1,2,1,1,,,,,,,8,,
8/30/2020,8,2,,1,1,,1,1,,1,,1,2,6,,3,2,,3,,2,3,2,1,,,,,,,,8,,
8/31/2020,18,,4,2,4,2,2,2,,,,2,4,14,,6,5,,7,,9,4,2,2,,1,,,,,,18,,
9/1/2020,13,,4,,4,1,3,,,,,1,3,10,,1,4,1,7,,4,6,1,2,,,,,,2,,11,,
9/2/2020,26,6,13,,,,2,2,,2,,1,9,17,,7,8,1,10,,12,6,5,2,1,,,,,,,26,,
9/3/2020,8,2,1,2,1,,,,,,,2,,8,,3,2,1,2,,3,3,1,,1,,,,,,,8,,
9/4/2020,8,,,,,,3,2,,2,,1,,8,,3,4,,1,5,2,1,,,,,,,,1,,7,,
9/5/2020,1,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,1,,,,
9/6/2020,8,1,,,,,3,,,1,,3,3,5,,1,5,,2,1,4,1,2,,,,,,,,,8,,
9/7/2020,5,,,,1,,3,,,,,1,,5,,2,3,,,,2,3,,,,,,,,1,,4,,
9/8/2020,16,4,,1,5,,4,2,,,,,3,13,,,7,2,7,1,11,3,,,,,,,1,1,,15,,
9/9/2020,19,2,,2,1,,5,5,,,,4,4,13,2,2,13,1,3,3,5,7,3,,,1,,,,1,,18,,
9/10/2020,19,,1,8,1,,1,5,,,,3,6,13,,4,10,4,1,,9,6,2,2,,,,,,1,,18,,
9/11/2020,16,3,4,1,3,,2,1,,2,,,3,13,,5,6,1,4,2,5,6,2,1,,,,,,,,16,,
9/12/2020,7,,,,1,,4,1,,1,,,2,5,,1,5,,1,1,3,2,,,1,,,,,,,7,,
