Date,TotalCitations,Age_u20,Age_20s,Age_30s,Age_40s,Age_50s,Age_60s,Age_70s,Age_80s,Age_90s,Age_100s,Black,Hispanic,Other,White,District1,District2,District3,District4,District5,District6,District7,District8,NoDistrict
10/1/2018,100,10,34,17,20,12,5,2,,,,6,22,7,65,10,7,4,20,16,9,13,15,6
10/2/2018,101,15,33,18,15,11,9,,,,,7,21,4,69,3,4,9,14,13,16,12,28,2
10/3/2018,142,12,43,38,19,18,8,3,1,,,14,38,7,83,15,10,11,20,18,26,15,22,5
10/4/2018,186,17,47,39,37,25,15,6,,,,15,37,5,129,21,12,11,12,26,49,22,25,8
10/5/2018,142,9,54,27,26,15,8,2,1,,,5,18,10,109,12,9,13,28,15,8,19,24,14
10/6/2018,99,13,33,21,17,9,5,1,,,,8,23,2,66,7,4,10,13,12,13,12,20,8
10/7/2018,103,16,35,12,22,12,3,3,,,,2,24,13,64,6,5,10,15,12,7,16,25,7
10/8/2018,124,11,38,26,30,13,4,2,,,,5,29,15,75,12,1,10,20,18,10,18,30,5
10/9/2018,135,14,43,28,20,12,13,4,1,,,19,39,5,72,19,12,13,17,12,17,16,22,7
10/10/2018,138,12,46,33,22,12,9,4,,,,17,37,7,77,14,10,12,16,9,15,22,28,12
10/11/2018,164,17,59,31,21,23,11,1,1,,,12,42,6,104,9,21,20,23,14,28,16,22,11
10/12/2018,109,14,43,23,13,9,6,1,,,,15,16,5,73,6,12,8,13,19,10,15,16,10
10/13/2018,115,15,46,19,16,11,5,2,1,,,3,23,15,74,8,7,7,20,22,9,15,20,7
10/14/2018,101,18,35,18,18,8,2,2,,,,9,20,8,64,12,11,10,12,10,4,26,14,2
10/15/2018,101,11,33,16,18,12,7,2,2,,,7,27,5,62,10,4,10,10,15,7,14,16,15
10/16/2018,118,8,38,22,27,12,8,2,1,,,9,34,3,72,10,8,9,13,13,10,18,27,10
10/17/2018,152,12,52,27,35,15,8,3,,,,10,42,3,97,10,6,12,11,14,21,18,35,25
10/18/2018,140,14,47,39,19,17,3,1,,,,17,38,10,75,10,8,6,19,10,22,20,32,13
10/19/2018,137,17,46,36,18,8,4,3,5,,,10,33,7,87,11,11,19,24,16,9,23,17,7
