 Year,Month,PHX_MeanMax,PHXMeanMin,NYC_MeanMax, NYC_MeanMin,LAX_MeanMax, LAX_MeanMin
1922,1,61.7,35.5,34.4,21.9,62.3,44.5
1922,2,67.8,41.1,40.9,26.3,61.1,46.9
1922,3,70.3,43.6,48.8,33.2,63.6,47.5
1922,4,77.9,48.6,60.7,42.2,66,49.3
1922,5,93.3,59,75.1,54,71.8,53.3
1922,6,103.3,69.2,79.9,63.6,77.8,57.6
1922,7,104,77.2,82.1,65.3,78.9,60.1
1922,8,102.4,76.4,80.5,64.2,83.5,63.1
1922,9,99.3,70.8,76.8,59.5,84.3,61.9
1922,10,88.1,55.2,66.9,49.4,75.1,55.6
1922,11,70.7,39.2,52.4,39,68.8,50.8
1922,12,67.4,42.7,39.5,27.6,65.5,51.1
1923,1,70.2,40.7,36.3,23.6,66.8,49.4
1923,2,68.1,42.1,32.3,20.3,65.8,47.5
1923,3,72.7,45.1,45.3,28.3,71.2,50.7
1923,4,80.7,52.5,60,40.6,65,51.7
1923,5,94.1,61.2,70.1,49.9,73.8,55.4
1923,6,98.3,63.3,83.7,63,71.9,55.3
1923,7,101.8,76.7,82.9,64.6,79.5,60.6
1923,8,99,75.5,82,63.1,78.4,60.8
1923,9,94.3,66.1,76.4,60.1,79.4,61.4
1923,10,83.8,50.8,64.4,47.6,76.5,57.2
1923,11,71,47.2,51.8,38.6,76.1,56.8
1923,12,61.8,42.3,47.4,36.6,67.4,50.2
1924,1,65.6,35.1,40.4,24.9,69,48
1924,2,74.9,42.7,34.9,22.8,72.8,52.3
1924,3,70,43.2,46,32.3,64.4,48.4
1924,4,79.6,50.6,57.2,41,68.2,52.6
1924,5,95,62.5,64.8,49.7,72.7,56.8
1924,6,104.9,70.1,76.7,58.9,78,58.4
1924,7,103,77.5,83.5,64.7,78.8,60
1924,8,103.4,75.5,83.2,65.3,78.6,59.6
1924,9,100.6,70.5,72.9,55.3,80.6,59.3
1924,10,88.2,54.1,66.5,47.6,71.9,53.3
1924,11,80.1,45.4,51.3,37.4,74.5,53.7
1924,12,61.8,39.5,40.6,27.3,64.1,47
1925,1,67.8,36.1,34.8,22,66.7,48.5
1925,2,76.4,44.9,44.8,30.9,65.9,49.5
1925,3,81,48.6,52.5,35.8,67.8,49.9
1925,4,86.8,54.9,60.7,42.9,68.3,51.6
1925,5,96.6,65.8,69.1,50,70.5,55.3
1925,6,100.5,72,84.1,64.5,76,58.9
1925,7,105.9,79.5,82.2,64.9,81.6,62.9
1925,8,100,74.4,82.6,64,79.4,60.4
1925,9,95.5,65.3,77.1,60.5,78.8,59.5
1925,10,81.4,55.6,57.8,43.4,73.3,56.8
1925,11,72.9,42.8,50.4,37.4,71.3,53.4
1925,12,67.2,39.7,40.6,29,72.4,54.1
1926,1,63.9,34.8,38.2,25.7,68.6,50.2
1926,2,73.6,42.7,35.7,22.7,70.1,52.4
1926,3,77.1,50.9,43.5,27.9,70.8,55.3
1926,4,80.3,56.8,55.5,39.1,70.3,56.5
1926,5,91.1,60.4,69.6,50.5,73.7,57
1926,6,102.8,71.2,76.1,57.4,75.3,59.2
1926,7,103,76.3,84.5,65.6,79.2,60.5
1926,8,102.6,75.2,81.3,66.6,82,63.2
1926,9,97,69.8,73.2,58.1,77.1,58.8
1926,10,89.1,57.9,63.1,47,77.8,57.4
1926,11,77.8,45.5,52,37.8,76.9,57
1926,12,62.4,40.4,35.3,22.5,63.7,48.5
1927,1,70.7,41.7,37.8,24,65.1,49.4
1927,2,70.4,47.1,41.9,30.9,62.8,50.4
1927,3,72.9,45.3,50.9,35.1,65,49.8
1927,4,82.2,52.4,57,40.1,67.7,51.3
1927,5,92.6,59.5,66.7,51.2,73.1,54.6
1927,6,99,68.4,76.3,58.3,73.3,56.7
1927,7,105.1,77.5,81.7,66.2,82.7,61.5
1927,8,100.3,75.4,75.7,61.2,80.4,60.3
1927,9,95.7,69.5,76.7,59.1,76.9,59.9
1927,10,87.9,55.1,67.2,51.9,77,57.8
1927,11,78.2,48.3,55.8,42.5,74.9,56.6
1927,12,63,38.8,43.3,30.1,63.6,48.9
1928,1,69.2,37.2,41,26.9,71.5,51.4
1928,2,69,41.2,40.1,25.9,69.3,50.8
1928,3,78.6,49.6,45.9,31.6,68.6,52.6
1928,4,83.3,52.1,56.9,39.8,72.3,52.2
1928,5,93.7,65.2,67.6,51.1,71.4,57
1928,6,101.1,70.1,74.8,60,72.9,57.9
1928,7,105.4,78.2,84.2,67.6,78.6,59.8
1928,8,101.4,75.4,82.3,68.4,79.3,60.9
1928,9,100,70.5,71.5,57.9,82.1,59.9
1928,10,87.1,58,67,50.6,72.5,54.9
1928,11,73.8,46.6,53.3,41.4,72.5,53.9
1928,12,64.8,38,45,33.6,67.9,49.8
1929,1,62.8,37.4,38.8,25,62.8,47.7
1929,2,65.9,40.1,39.3,26.5,62.5,46.4
1929,3,74.6,46.1,53.8,36.4,66,48.5
1929,4,80.8,51.6,58.3,43.6,65,49.8
1929,5,93.8,62.2,71,52.4,73.7,56.3
1929,6,103.5,69.4,80.7,62.1,77.6,59.5
1929,7,103.8,80.2,85.2,66.6,80.7,63.5
1929,8,102.2,77.1,82,64.2,85.6,66
1929,9,97.3,70.7,78,60.9,78.3,62
1929,10,89.7,59.8,62.3,47,79.8,60.4
1929,11,74.1,41.7,51.7,40.7,77.2,54.5
1929,12,72.7,40,41.6,29.9,73.3,54.1
1930,1,62.4,41.6,39.5,27,63.3,48.7
1930,2,75.6,44.9,44.9,29.1,68.5,50.4
1930,3,74,47.3,47.7,32.8,69,52.6
1930,4,86.6,57.7,56,40.8,72.1,55.1
1930,5,86,57.4,73.3,54.4,70.4,53.2
1930,6,102.3,71.3,82,65,75.9,59.2
1930,7,103.5,79.1,85.2,67.6,83,62.5
1930,8,102.6,76.7,81.7,65.4,82.6,65.1
1930,9,96.7,67.8,79.8,64.1,75.8,60
1930,10,86.6,54.1,63.3,47.8,78.9,58.5
1930,11,73.6,46.8,51.5,39.4,75.8,56.5
1930,12,66.8,37.5,39.3,29.9,70.7,49.5
1931,1,67.9,37.9,39.2,26.3,69.2,51.2
1931,2,67.8,47.9,41.3,26.4,68.4,53
1931,3,77.5,48,46,34.6,76,55.9
1931,4,86,58.7,59.1,43,74.8,57.1
1931,5,96.2,64.8,69.9,53,75.4,59.6
1931,6,101.3,72.6,79.3,62.1,78.9,62.1
1931,7,107.5,82.8,85.3,69.6,86.1,68.4
1931,8,101,77.6,82.9,67.5,84.9,67.3
1931,9,98.9,72.9,81.3,63.3,80.8,62.2
1931,10,88.1,57.6,69.9,52.6,77.9,59.6
1931,11,68.5,45.9,58.1,45.7,67.4,50
1931,12,61.9,37.5,48,33.9,62.6,47.3
1932,1,60.3,33.8,48.6,37.7,61.5,45.1
1932,2,68,45.5,42.9,29.3,64.6,48.4
1932,3,76.1,47.7,44.5,30.1,71.5,52.8
1932,4,84.9,53.6,57.5,40.5,72.5,52.8
1932,5,92.9,61.6,70.8,53.3,71.5,55.7
1932,6,100.9,68.6,79.8,61.2,74.7,57.7
1932,7,104.2,79.5,85.4,66.8,78.3,59.9
1932,8,105,79.2,85.3,68,78.8,60.3
1932,9,101.7,72.4,78.6,60.2,76.6,60
1932,10,85.5,57.5,65.5,51.3,75.6,58.9
1932,11,80.2,45.7,50.8,37.1,79.9,58
1932,12,60.2,38.3,45.3,32.9,63.5,46.9
1933,1,61.5,36.1,46.7,33.9,62.7,46
1933,2,63.5,35.7,41.4,26.8,65.6,46.5
1933,3,77,46.8,44.5,32.2,69.5,49.9
1933,4,79.1,50.3,57.9,42.9,67.2,51
1933,5,87.6,57.5,72.8,55.9,68.6,52.2
1933,6,102.7,72.6,81.7,63.1,74.3,55.7
1933,7,107.5,82.5,84.5,67.1,78.5,60.3
1933,8,105.3,79.5,82.1,67.5,79.4,60.6
1933,9,99.9,73.8,76.9,62.2,72.8,56.3
1933,10,90.5,62.9,64.8,47.5,75.8,57.6
1933,11,79.4,46,48.3,35.3,78.1,54.9
1933,12,69,40.3,39.7,25.6,65.9,48.9
1934,1,69.2,39.8,40.8,28.5,70.6,50.2
1934,2,74.6,47.1,28.3,11.5,67.1,51.9
1934,3,85.6,54.3,45.9,28.7,75.8,55.2
1934,4,90,59.6,58.4,42.1,73.4,55.9
1934,5,98.9,67.6,73.3,54,76.6,58.4
1934,6,98.9,68.6,82.6,64.9,72,58.5
1934,7,106.8,81.3,86.3,69.1,81.5,63.1
1934,8,101.1,78.9,79.9,64.1,80.3,61.9
1934,9,99,70.6,76.2,62.2,82.5,62.9
1934,10,91.5,59.5,61.9,47,76.6,58.4
1934,11,75.7,47.2,55.1,42.6,70.7,54.8
1934,12,68.4,43.5,40,26.8,68.6,52.9
1935,1,65.5,42.2,36.1,21.6,65.3,48.7
1935,2,69.6,46.2,38.2,24.1,68.3,51.8
1935,3,69.9,45.3,52,34.7,63.2,47.4
1935,4,82.9,56,57.1,42.1,68.5,52.9
1935,5,88,60.2,69.2,50.5,69.3,54.6
1935,6,105.5,72.8,79,61.1,74.7,58.1
1935,7,105.5,78.4,85.2,69.2,80.5,61
1935,8,100.1,76.8,82.8,66.5,83.4,64.6
1935,9,97.9,71.2,73.6,57,78.7,61
1935,10,88,57.2,66.2,48.6,75.6,58.3
1935,11,71,43.4,54.3,42.9,70,51.6
1935,12,67.2,41.4,35.1,24.8,68.3,50.5
1936,1,67.2,38.5,35.3,23.3,67.7,51
1936,2,68.2,44.5,32.4,19,63.6,49.4
1936,3,79.3,50.3,52.7,37.6,67.4,50.7
1936,4,88.7,57.5,55.2,40.4,69.2,52.1
1936,5,98.2,65.2,74.9,53.7,73.9,57.3
1936,6,105.6,75,77.7,61.8,77.9,60
1936,7,106.1,80.2,86,66.4,83,65.2
1936,8,103.2,79,84.3,66.5,82.7,64.1
1936,9,97,70.1,75.9,60.4,79.6,61.4
1936,10,87.1,59.2,65,49.8,76.4,58.5
1936,11,75.5,48.1,50.2,35.1,78.4,57.1
1936,12,65.7,40.6,45.9,31.3,67.1,50.2
1937,1,54.4,31.9,46.7,33.7,55.2,40.3
1937,2,68,41.4,41.7,27.9,63.3,47.5
1937,3,72.9,46.9,42.7,30.3,66.9,50.1
1937,4,83.2,52.1,57.1,42.1,71.8,52.8
1937,5,94.8,62.3,74.2,54.2,71.2,56.7
1937,6,100.9,69.7,80.6,63,76,59.6
1937,7,105,78.5,85.3,67.7,80.4,62.3
1937,8,104.8,79.6,84.7,68.5,80.9,62.3
1937,9,99.9,73.9,74.8,57.2,81.8,63
1937,10,91.1,58.6,62.2,48,77,58.1
