Q10A_Outdoor,Q10B_Indoor
105,74
90,80
95,85
90,82
105,105
105,80
90,77
90,78
80,75
100,85
100,80
98,74
95,78
88,78
105,NA
110,NA
100,115
100,78
100,75
110,80
85,81
90,90
92,72
NA,NA
95,100
92,81
95,80
90,80
85,80
115,82
100,80
95,80
95,80
112,75
90,95
85,80
90,84
105,78
105,85
88,75
110,85
85,80
110,82
102,80
NA,NA
98,78
90,105
90,85
110,80
105,78
102,82
90,83
92,82
100,98
110,85
100,78
94,100
110,85
90,79
90,80
111,120
100,80
100,78
105,74
90,81
90,82
85,78
97,80
88,78
