ID,CI10A,CI10B,CI6,CI12_1,SC5
ts076,100,85,1,0,5
ts020,105,80,0,0,5
ts062,105,115,0,0,5
ts088,90,90,,0,5
ts066,90,86,-1,-1,5
ts041,105,,1,-1,5
ts101,85,80,1,-1,5
ts192,90,78,1,-1,5
ts102,90,84,0,-1,5
ts114,105,78,0,-1,5
ts116,90,83,0,-1,5
ts164,98,77,0,-1,5
ts167,90,80,0,-1,5
ts180,85,78,,-1,5
ts001,102,80,-1,1,5
ts058,105,79,-1,1,5
ts098,95,80,-1,1,5
ts010,100,78,1,1,5
ts045,75,68,-2,1,5
ts083,100,115,-2,1,5
ts025,115,80,0,1,5
ts026,105,,0,1,5
ts028,105,78,0,1,5
ts055,88,80,0,1,5
ts056,119,110,0,1,5
ts064,101,78,0,1,5
ts082,110,,0,1,5
ts089,92,72,0,1,5
ts099,112,75,0,1,5
ts136,97,80,0,1,5
ts145,90,82,0,1,5
ts151,100,82,0,1,5
ts191,110,115,0,1,5
ts129,90,81,,1,5
ts194,103, ,-1,-2,5
ts093,90,80,0,-2,5
ts146,90,77,0,-2,5
ts005,110,83,-1,2,5
ts158,100,80,-1,2,5
ts155,100,80,1,2,5
ts013,105,80,0,2,5
ts054,110,120,0,2,5
ts072,105,80,0,2,5
ts125,111,120,0,2,5
ts148,105,78,0,2,5
ts165,105,110,0,2,5
ts187,80,72,0,,5
ts156,,,,,5
ts108,110,82,0,0,3
ts131,85,78,0,0,3
ts141,90,80,0,0,3
ts147,85,82,0,0,3
ts189,108,78,0,0,3
ts198,112,118,0,0,3
ts111,90,105,1,-1,3
ts157,105,80,1,-1,3
ts003,85,80,2,-1,3
ts035,80,81,2,-1,3
ts042,100,78,0,-1,3
ts044,,,0,-1,3
ts059,,75,0,-1,3
ts096,100,80,0,-1,3
ts162,85,90,,-1,3
ts103,105,78,-1,1,3
ts034,105,79,1,1,3
ts015,100,85,0,1,3
ts040,90,85,0,1,3
ts043,90,78,0,1,3
ts178,102,82,0,1,3
ts172,,,,1,3
ts200,111,78,,1,3
ts029,90,78,1,-2,3
ts030,82,78,1,-2,3
ts009,90,76,0,-2,3
ts124,90,80,0,-2,3
ts130,90,82,0,-2,3
ts053,104,80,-1,2,3
ts183,,,-1,2,3
ts188,105,79,-1,2,3
ts011,115,84,1,2,3
ts004,108,79,0,2,3
ts036,90,80,0,2,3
ts050,113,,0,2,3
ts032,,,1,,3
ts078,98,74,2,-1,2
ts070,90,82,0,-1,2
ts021,110,75,0,0,4
ts077,100,80,0,0,4
ts097,95,80,0,0,4
ts133,88,78,0,0,4
ts135,95,82,0,0,4
ts137,105,80,0,0,4
ts149,90,78,0,0,4
ts154,105,78,0,0,4
ts159,105,81,0,0,4
ts171,95,78,0,0,4
ts181,92,118,,0,4
ts022,105,110,1,,4
ts017,90,80,2,,4
ts012,90,80,0,,4
ts038,68,75,0,,4
ts033,98,78,-1,-1,4
ts153,103,104,-1,-1,4
ts002,102,82,1,-1,4
ts126,100,80,1,-1,4
ts184,,81,1,-1,4
ts122,110,85,-2,-1,4
ts027,105,79,0,-1,4
ts052,98,80,0,-1,4
ts065,90,85,0,-1,4
ts075,80,75,0,-1,4
ts112,90,85,0,-1,4
ts117,92,82,0,-1,4
ts127,100,78,0,-1,4
ts139,103,80,0,-1,4
ts142,100,110,0,-1,4
ts185,90,82,0,-1,4
ts080,88,78,,-1,4
ts085,100,75,,-1,4
ts132,97,80,,-1,4
ts008,100,80,-1,1,4
ts024,105,85,-1,1,4
ts037,95,80,-1,1,4
ts104,105,85,-1,1,4
ts138,90,80,-1,1,4
ts193,110,82,-1,1,4
ts204,100,78,-1,1,4
ts123,90,79,-2,1,4
ts177,110,82,-2,1,4
ts006,100,80,0,1,4
ts007,90,80,0,1,4
ts014,110,80,0,1,4
ts046,100,85,0,1,4
ts047,95,78,0,1,4
ts049,105,85,0,1,4
ts057,87,80,0,1,4
ts060,100,80,0,1,4
ts067,105,74,0,1,4
ts068,90,80,0,1,4
ts071,105,105,0,1,4
ts073,90,77,0,1,4
ts074,90,78,0,1,4
ts081,105,,0,1,4
ts105,88,75,0,1,4
ts109,102,80,0,1,4
ts119,110,85,0,1,4
ts128,105,74,0,1,4
ts140,110,85,0,1,4
ts144,90,80,0,1,4
ts152,85,80,0,1,4
ts160,115,80,0,1,4
ts166,95,115,0,1,4
ts175,84,78,0,1,4
ts182,102,74,0,1,4
ts190,105,80,0,1,4
ts196,120,80,0,1,4
ts201,96,80,0,1,4
ts202,90,88,0,1,4
ts091,92,81,,1,4
ts121,94,100,,1,4
ts150,100,120,,1,4
ts090,95,100,1,-2,4
ts169,105,80,1,-2,4
ts031,90,80,0,-2,4
ts086,110,80,0,-2,4
ts113,110,80,0,-2,4
ts118,100,98,0,-2,4
ts092,95,80,,-2,4
ts110,98,78,,-2,4
ts203,90,80,,-2,4
ts016,103,84,-1,2,4
ts069,95,85,-1,2,4
ts084,100,78,-1,2,4
ts095,115,82,-1,2,4
ts173,85,78,-1,2,4
ts179,105,80,-1,2,4
ts018,99,84,1,2,4
ts039,90,86,1,2,4
ts143,100,80,1,2,4
ts163,100,105,1,2,4
ts168,110,90,1,2,4
ts048,102,77,-2,2,4
ts174,80,79,2,2,4
ts195,100,87,2,2,4
ts019,100,85,0,2,4
ts023,110,78,0,2,4
ts051,90,80,0,2,4
ts061,98,82,0,2,4
ts087,85,81,0,2,4
ts094,85,80,0,2,4
ts106,110,85,0,2,4
ts107,85,80,0,2,4
ts115,102,82,0,2,4
ts134,100,82,0,2,4
ts197,105,102,0,2,4
ts199,105,84,0,2,4
ts063,100,78,,2,4
ts186,108,81,,2,4
ts176,104,110,1,,4
ts079,95,78,0,,4
ts120,100,78,0,,4
ts170,95,75,0,,4
ts100,90,95,,2,
ts161,,,,,
