ID,SC2,SC5,DE14,HH1,HH2,EL6,CI6,CI7,DE3,DE4,CI12_1,CI12_2
ts01,0,5,85284,0,0,0,-1,0,2,0,1,1
ts02,0,4,85284,1,0,0,1,1,2,1,-1,1
ts03,1,3,85283,3,1,2,2,1,2,0,-1,1
ts04,0,3,85284,2,0,2,0,-1,2,0,2,2
ts05,0,5,85284,2,0,1,-1,0,2,0,2,2
ts06,0,4,85281,1,0,0,0,-1,2,0,1,1
ts07,0,4,85282,4,0,2,0,NA,2,0,1,1
ts08,0,4,85283,2,0,0,-1,-1,2,1,1,1
ts09,0,3,85284,4,1,0,0,0,1,1,-2,-1
ts10,0,5,85283,2,0,2,1,1,3,0,1,2
ts100,0,NA,85284,3,0,NA,NA,NA,2,0,2,2
ts101,0,5,85283,2,0,0,1,1,2,0,-1,-1
ts102,0,5,85283,4,0,NA,0,0,NA,0,-1,0
ts103,0,3,85284,1,0,0,-1,0,2,1,1,1
ts104,0,4,85284,2,0,NA,-1,-1,2,0,1,1
ts105,0,4,85283,0,0,-1,0,0,2,0,1,1
ts106,0,4,85284,1,0,0,0,0,2,1,2,2
ts107,0,4,85283,2,1,1,0,1,1,1,2,2
ts108,0,3,85283,0,0,NA,0,0,NA,NA,0,0
ts109,0,4,85284,3,0,1,0,0,2,0,1,2
ts11,0,3,85282,1,0,0,1,1,2,1,2,2
ts110,1,4,85281,2,1,NA,NA,NA,1,1,-2,-2
ts111,NA,3,85281,2,1,0,1,NA,2,1,-1,-2
ts112,0,4,85282,0,0,0,0,0,2,1,-1,-1
ts113,1,4,85284,1,0,0,0,-1,2,0,-2,-2
ts114,0,5,85282,0,0,-1,0,0,2,0,-1,-1
ts115,0,4,85282,2,0,1,0,0,2,0,2,1
ts116,0,5,85282,1,0,2,0,-1,2,0,-1,1
ts117,1,4,85281,2,0,1,0,0,1,1,-1,-1
ts118,1,4,85283,1,0,NA,0,0,2,0,-2,NA
ts119,0,4,85283,1,0,NA,0,0,2,1,1,1
