"GEOID","County","State","variable","value"
"01001","Autauga County","Alabama","P1_001N",58805
"01003","Baldwin County","Alabama","P1_001N",231767
"01005","Barbour County","Alabama","P1_001N",25223
"01007","Bibb County","Alabama","P1_001N",22293
"01009","Blount County","Alabama","P1_001N",59134
"01011","Bullock County","Alabama","P1_001N",10357
"01013","Butler County","Alabama","P1_001N",19051
"01015","Calhoun County","Alabama","P1_001N",116441
"21135","Lewis County","Kentucky","P1_001N",13080
"21137","Lincoln County","Kentucky","P1_001N",24275
"21139","Livingston County","Kentucky","P1_001N",8888
"21141","Logan County","Kentucky","P1_001N",27432
"21143","Lyon County","Kentucky","P1_001N",8680
"21145","McCracken County","Kentucky","P1_001N",67875
"21147","McCreary County","Kentucky","P1_001N",16888
"21151","Madison County","Kentucky","P1_001N",92701
"21155","Marion County","Kentucky","P1_001N",19581
"21157","Marshall County","Kentucky","P1_001N",31659
"21161","Mason County","Kentucky","P1_001N",17120
"21163","Meade County","Kentucky","P1_001N",30003
"21167","Mercer County","Kentucky","P1_001N",22641
"21169","Metcalfe County","Kentucky","P1_001N",10286
"21173","Montgomery County","Kentucky","P1_001N",28114
"21175","Morgan County","Kentucky","P1_001N",13726
"21179","Nelson County","Kentucky","P1_001N",46738
"21181","Nicholas County","Kentucky","P1_001N",7537
"21185","Oldham County","Kentucky","P1_001N",67607
"21187","Owen County","Kentucky","P1_001N",11278
"21191","Pendleton County","Kentucky","P1_001N",14644
"21195","Pike County","Kentucky","P1_001N",58669
"21197","Powell County","Kentucky","P1_001N",13129
"21201","Robertson County","Kentucky","P1_001N",2193
"21203","Rockcastle County","Kentucky","P1_001N",16037
"21207","Russell County","Kentucky","P1_001N",17991
"21209","Scott County","Kentucky","P1_001N",57155
"21213","Simpson County","Kentucky","P1_001N",19594
"21215","Spencer County","Kentucky","P1_001N",19490
"21219","Todd County","Kentucky","P1_001N",12243
"21223","Trimble County","Kentucky","P1_001N",8474
"21225","Union County","Kentucky","P1_001N",13668
"21229","Washington County","Kentucky","P1_001N",12027
"21231","Wayne County","Kentucky","P1_001N",19555
"21235","Whitley County","Kentucky","P1_001N",36712
"21237","Wolfe County","Kentucky","P1_001N",6562
"23001","Androscoggin County","Maine","P1_001N",111139
"23003","Aroostook County","Maine","P1_001N",67105
"23007","Franklin County","Maine","P1_001N",29456
"23009","Hancock County","Maine","P1_001N",55478
"23013","Knox County","Maine","P1_001N",40607
"23015","Lincoln County","Maine","P1_001N",35237
"23019","Penobscot County","Maine","P1_001N",152199
"23021","Piscataquis County","Maine","P1_001N",16800
"23025","Somerset County","Maine","P1_001N",50477
"23029","Washington County","Maine","P1_001N",31095
"23031","York County","Maine","P1_001N",211972
"27003","Anoka County","Minnesota","P1_001N",363887
"27005","Becker County","Minnesota","P1_001N",35183
"27007","Beltrami County","Minnesota","P1_001N",46228
"27009","Benton County","Minnesota","P1_001N",41379
"27011","Big Stone County","Minnesota","P1_001N",5166
"27013","Blue Earth County","Minnesota","P1_001N",69112
"27015","Brown County","Minnesota","P1_001N",25912
"27017","Carlton County","Minnesota","P1_001N",36207
"27019","Carver County","Minnesota","P1_001N",106922
"27021","Cass County","Minnesota","P1_001N",30066
"27023","Chippewa County","Minnesota","P1_001N",12598
"27025","Chisago County","Minnesota","P1_001N",56621
"47121","Meigs County","Tennessee","P1_001N",12758
"47125","Montgomery County","Tennessee","P1_001N",220069
"47127","Moore County","Tennessee","P1_001N",6461
"47131","Obion County","Tennessee","P1_001N",30787
"47133","Overton County","Tennessee","P1_001N",22511
"47137","Pickett County","Tennessee","P1_001N",5001
"47139","Polk County","Tennessee","P1_001N",17544
"47143","Rhea County","Tennessee","P1_001N",32870
"47145","Roane County","Tennessee","P1_001N",53404
"47149","Rutherford County","Tennessee","P1_001N",341486
"47151","Scott County","Tennessee","P1_001N",21850
"47153","Sequatchie County","Tennessee","P1_001N",15826
"47157","Shelby County","Tennessee","P1_001N",929744
"47159","Smith County","Tennessee","P1_001N",19904
"47163","Sullivan County","Tennessee","P1_001N",158163
"47165","Sumner County","Tennessee","P1_001N",196281
"47169","Trousdale County","Tennessee","P1_001N",11615
"47171","Unicoi County","Tennessee","P1_001N",17928
"47175","Van Buren County","Tennessee","P1_001N",6168
"47177","Warren County","Tennessee","P1_001N",40953
"47181","Wayne County","Tennessee","P1_001N",16232
"47183","Weakley County","Tennessee","P1_001N",32902
"47187","Williamson County","Tennessee","P1_001N",247726
"47189","Wilson County","Tennessee","P1_001N",147737
"49003","Box Elder County","Utah","P1_001N",57666
"49005","Cache County","Utah","P1_001N",133154
"49009","Daggett County","Utah","P1_001N",935
"49011","Davis County","Utah","P1_001N",362679
"49015","Emery County","Utah","P1_001N",9825
"49017","Garfield County","Utah","P1_001N",5083
"49019","Grand County","Utah","P1_001N",9669
"49021","Iron County","Utah","P1_001N",57289
"49023","Juab County","Utah","P1_001N",11786
"49025","Kane County","Utah","P1_001N",7667
"49027","Millard County","Utah","P1_001N",12975
"49029","Morgan County","Utah","P1_001N",12295
"49031","Piute County","Utah","P1_001N",1438
"49033","Rich County","Utah","P1_001N",2510
"49035","Salt Lake County","Utah","P1_001N",1185238
"49037","San Juan County","Utah","P1_001N",14518
"49039","Sanpete County","Utah","P1_001N",28437
"49041","Sevier County","Utah","P1_001N",21522
"49043","Summit County","Utah","P1_001N",42357
"49045","Tooele County","Utah","P1_001N",72698
"49047","Uintah County","Utah","P1_001N",35620
"49049","Utah County","Utah","P1_001N",659399
"49051","Wasatch County","Utah","P1_001N",34788
"49053","Washington County","Utah","P1_001N",180279
"49055","Wayne County","Utah","P1_001N",2486
"49057","Weber County","Utah","P1_001N",262223
"50003","Bennington County","Vermont","P1_001N",37347
"50005","Caledonia County","Vermont","P1_001N",30233
"50009","Essex County","Vermont","P1_001N",5920
"50011","Franklin County","Vermont","P1_001N",49946
"50015","Lamoille County","Vermont","P1_001N",25945
"50017","Orange County","Vermont","P1_001N",29277
"50021","Rutland County","Vermont","P1_001N",60572
"50023","Washington County","Vermont","P1_001N",59807
"50027","Windsor County","Vermont","P1_001N",57753
"51001","Accomack County","Virginia","P1_001N",33413
"27165","Watonwan County","Minnesota","P1_001N",11253
"29037","Cass County","Missouri","P1_001N",107824
"29043","Christian County","Missouri","P1_001N",88842
"29049","Clinton County","Missouri","P1_001N",21184
"29055","Crawford County","Missouri","P1_001N",23056
"29061","Daviess County","Missouri","P1_001N",8430
"29067","Douglas County","Missouri","P1_001N",11578
"29073","Gasconade County","Missouri","P1_001N",14794
"29079","Grundy County","Missouri","P1_001N",9808
"29085","Hickory County","Missouri","P1_001N",8279
"29091","Howell County","Missouri","P1_001N",39750
"29097","Jasper County","Missouri","P1_001N",122761
"29101","Johnson County","Missouri","P1_001N",54013
"29107","Lafayette County","Missouri","P1_001N",32984
"29113","Lincoln County","Missouri","P1_001N",59574
"29119","McDonald County","Missouri","P1_001N",23303
"29125","Maries County","Missouri","P1_001N",8432
"29131","Miller County","Missouri","P1_001N",24722
"29137","Monroe County","Missouri","P1_001N",8666
"29143","New Madrid County","Missouri","P1_001N",16434
"29149","Oregon County","Missouri","P1_001N",8635
"29155","Pemiscot County","Missouri","P1_001N",15661
"29203","Shannon County","Missouri","P1_001N",7031
"29209","Stone County","Missouri","P1_001N",31076
"29215","Texas County","Missouri","P1_001N",24487
"29221","Washington County","Missouri","P1_001N",23514
"29227","Worth County","Missouri","P1_001N",1973
"29510","St. Louis city","Missouri","P1_001N",301578
"12005","Bay County","Florida","P1_001N",175216
"12011","Broward County","Florida","P1_001N",1944375
"12017","Citrus County","Florida","P1_001N",153843
"12023","Columbia County","Florida","P1_001N",69698
"12031","Duval County","Florida","P1_001N",995567
"12037","Franklin County","Florida","P1_001N",12451
"12043","Glades County","Florida","P1_001N",12126
"12049","Hardee County","Florida","P1_001N",25327
"12055","Highlands County","Florida","P1_001N",101235
"12061","Indian River County","Florida","P1_001N",159788
"12067","Lafayette County","Florida","P1_001N",8226
"12073","Leon County","Florida","P1_001N",292198
"12077","Liberty County","Florida","P1_001N",7974
"12083","Marion County","Florida","P1_001N",375908
"12087","Monroe County","Florida","P1_001N",82874
"12093","Okeechobee County","Florida","P1_001N",39644
"31005","Arthur County","Nebraska","P1_001N",434
"31011","Boone County","Nebraska","P1_001N",5379
"31017","Brown County","Nebraska","P1_001N",2903
"31023","Butler County","Nebraska","P1_001N",8369
"27159","Wadena County","Minnesota","P1_001N",14065
"31029","Chase County","Nebraska","P1_001N",3893
"31035","Clay County","Nebraska","P1_001N",6104
"31039","Cuming County","Nebraska","P1_001N",9013
"31045","Dawes County","Nebraska","P1_001N",8199
"31051","Dixon County","Nebraska","P1_001N",5606
"31057","Dundy County","Nebraska","P1_001N",1654
"31063","Frontier County","Nebraska","P1_001N",2519
"31069","Garden County","Nebraska","P1_001N",1874
"31075","Grant County","Nebraska","P1_001N",611
"31081","Hamilton County","Nebraska","P1_001N",9429
"01019","Cherokee County","Alabama","P1_001N",24971
"01021","Chilton County","Alabama","P1_001N",45014
"01023","Choctaw County","Alabama","P1_001N",12665
"01025","Clarke County","Alabama","P1_001N",23087
"01027","Clay County","Alabama","P1_001N",14236
"01029","Cleburne County","Alabama","P1_001N",15056
"01031","Coffee County","Alabama","P1_001N",53465
"01033","Colbert County","Alabama","P1_001N",57227
"01035","Conecuh County","Alabama","P1_001N",11597
"01037","Coosa County","Alabama","P1_001N",10387
"01041","Crenshaw County","Alabama","P1_001N",13194
"01043","Cullman County","Alabama","P1_001N",87866
"01047","Dallas County","Alabama","P1_001N",38462
"01049","DeKalb County","Alabama","P1_001N",71608
"01053","Escambia County","Alabama","P1_001N",36757
"01055","Etowah County","Alabama","P1_001N",103436
"01059","Franklin County","Alabama","P1_001N",32113
"01063","Greene County","Alabama","P1_001N",7730
"01065","Hale County","Alabama","P1_001N",14785
"01069","Houston County","Alabama","P1_001N",107202
"01071","Jackson County","Alabama","P1_001N",52579
"01075","Lamar County","Alabama","P1_001N",13972
"01077","Lauderdale County","Alabama","P1_001N",93564
"01081","Lee County","Alabama","P1_001N",174241
"01085","Lowndes County","Alabama","P1_001N",10311
"01087","Macon County","Alabama","P1_001N",19532
"01091","Marengo County","Alabama","P1_001N",19323
"01093","Marion County","Alabama","P1_001N",29341
"01097","Mobile County","Alabama","P1_001N",414809
"01099","Monroe County","Alabama","P1_001N",19772
"01103","Morgan County","Alabama","P1_001N",123421
"01107","Pickens County","Alabama","P1_001N",19123
"01109","Pike County","Alabama","P1_001N",33009
"01113","Russell County","Alabama","P1_001N",59183
"01115","St. Clair County","Alabama","P1_001N",91103
"01119","Sumter County","Alabama","P1_001N",12345
"01123","Tallapoosa County","Alabama","P1_001N",41311
