State,Area_Name,Rural-urban_Continuum Code_2013,Economic_typology_2015,POP_ESTIMATE_2019
AL,Autauga County,2,0,"55,869"
AL,Baldwin County,3,5,"223,234"
AL,Barbour County,6,3,"24,686"
AL,Bibb County,1,0,"22,394"
AL,Blount County,1,0,"57,826"
AL,Bullock County,6,3,"10,101"
AL,Butler County,6,0,"19,448"
AL,Calhoun County,3,4,"113,605"
AL,Chambers County,6,0,"33,254"
AL,Cherokee County,6,0,"26,196"
AL,Chilton County,1,0,"44,428"
AL,Choctaw County,9,3,"12,589"
AL,Clarke County,7,3,"23,622"
AL,Clay County,9,3,"13,235"
AL,Cleburne County,8,0,"14,910"
AL,Coffee County,4,0,"52,342"
AL,Colbert County,3,0,"55,241"
AL,Conecuh County,7,0,"12,067"
AL,Coosa County,8,3,"10,663"
AL,Covington County,6,0,"37,049"
AL,Crenshaw County,8,3,"13,772"
AL,Cullman County,4,0,"83,768"
AL,Dale County,4,3,"49,172"
AL,Dallas County,4,3,"37,196"
AL,DeKalb County,6,3,"71,513"
AL,Elmore County,2,0,"81,209"
AL,Escambia County,6,0,"36,633"
AL,Etowah County,3,0,"102,268"
AL,Fayette County,6,0,"16,302"
AL,Franklin County,6,3,"31,362"
AL,Geneva County,3,0,"26,271"
AL,Greene County,8,0,"8,111"
AL,Hale County,3,0,"14,651"
AL,Henry County,3,0,"17,205"
AL,Houston County,3,0,"105,882"
AL,Jackson County,6,3,"51,626"
AL,Jefferson County,1,0,"658,573"
AL,Lamar County,8,3,"13,805"
AL,Lauderdale County,3,0,"92,729"
AL,Lawrence County,3,3,"32,924"
AL,Lee County,3,4,"164,542"
AL,Limestone County,2,4,"98,915"
AL,Lowndes County,2,3,"9,726"
AL,Macon County,6,4,"18,068"
AL,Madison County,2,4,"372,909"
AL,Marengo County,7,0,"18,863"
AL,Marion County,7,3,"29,709"
AL,Marshall County,4,3,"96,774"
AL,Mobile County,2,0,"413,210"
AL,Monroe County,7,3,"20,733"
AL,Montgomery County,2,4,"226,486"
AL,Morgan County,3,3,"119,679"
AL,Perry County,8,0,"8,923"
AL,Pickens County,3,0,"19,930"
AL,Pike County,6,4,"33,114"
AL,Randolph County,6,0,"22,722"
AL,Russell County,2,3,"57,961"
AL,St. Clair County,1,0,"89,512"
AL,Shelby County,1,0,"217,702"
AL,Sumter County,8,4,"12,427"
AL,Talladega County,4,3,"79,978"
AL,Tallapoosa County,6,0,"40,367"
AL,Tuscaloosa County,3,4,"209,355"
AL,Walker County,1,0,"63,521"
AL,Washington County,8,3,"16,326"
AL,Wilcox County,9,3,"10,373"
AL,Winston County,6,3,"23,629"
AK,Aleutians East Borough,9,3,"3,337"
AK,Aleutians West Census Area,9,3,"5,634"
AK,Anchorage Municipality,2,4,"288,000"
AK,Bethel Census Area,7,0,"18,386"
AK,Bristol Bay Borough,9,3,836
AK,Denali Borough,8,5,"2,097"
AK,Dillingham Census Area,9,3,"4,916"
AK,Fairbanks North Star Borough,3,4,"96,849"
AK,Haines Borough,9,5,"2,530"
AK,Hoonah-Angoon Census Area,9,4,"2,148"
AK,Juneau City and Borough,5,4,"31,974"
AK,Kenai Peninsula Borough,7,5,"58,708"
AK,Ketchikan Gateway Borough,7,4,"13,901"
AK,Kodiak Island Borough,7,3,"12,998"
AK,Kusilvak Census Area,9,0,"8,314"
AK,Lake and Peninsula Borough,9,5,"1,592"
AK,Matanuska-Susitna Borough,2,5,"108,317"
AK,Nome Census Area,7,0,"10,004"
AK,North Slope Borough,7,2,"9,832"
AK,Northwest Arctic Borough,7,2,"7,621"
AK,Petersburg Borough,9,0,"3,266"
AK,Prince of Wales-Hyder Census Area,9,5,"6,203"
AK,Sitka City and Borough,7,0,"8,493"
AK,Skagway Municipality,9,5,"1,183"
AK,Southeast Fairbanks Census Area,9,2,"6,893"
AK,Valdez-Cordova Census Area,9,5,"9,202"
AK,Wrangell City and Borough,9,5,"2,502"
AK,Yakutat City and Borough,9,4,579
AK,Yukon-Koyukuk Census Area,9,0,"5,230"
AZ,Apache County,6,4,"71,887"
AZ,Cochise County,3,4,"125,922"
AZ,Coconino County,3,4,"143,476"
AZ,Gila County,4,5,"54,018"
AZ,Graham County,7,4,"38,837"
