OBJECTID,APN,ZONE_CODE,COUNT,AREA_WBLDGS,MEAN_WBLDGS,COUNT,AREA_NOBLDGS,MEAN_NOBLDGS,APN,SchoolName,OBJECTID_1,X,Y,OBJECTID,SchoolName,CountyName,DistrictName,SchoolClass,mean_pctpoc,mean_priority_i,mean_pctpov,mean_child_perc,mean_seniorperc,mean_tes,mean_health_nor,sum_Area_SQUAREKILOMETERS,Polygon_Count,Shape_Length,Shape_Area
21,16811223,22,194070,7762.8,0.1476013809,158812,6352.48,0.1772347178,16811223,Accelerated Learning Center,48,-111.9924892,33.58229477,1551,Accelerated Learning Center,Maricopa,"Accelerated Learning Center, Inc.",Charter,0.077,0.105,0.053,0.067,0.084,35.417,0.071,2.031,4.000,0.050,0.000
6,10705001,7,5299369,211974.76,0.04413770772,3877353,155094.12,0.05851620938,10705001,Alhambra High School,11,-112.1411892,33.50849479,1117,Alhambra High School,Maricopa,Phoenix Union High School District,District,0.593,0.364,0.407,0.173,0.061,46.492,0.313,2.031,9.000,0.050,0.000
43,12701009,44,5628606,225144.24,0.0386036969,4714273,188570.92,0.04538684968,12701009,Arcadia High School,51,-111.9811892,33.49409478,1577,Arcadia High School,Maricopa,Scottsdale Unified District,District,0.095,0.140,0.115,0.087,0.081,46.504,0.095,2.031,8.000,0.050,0.000
47,20739990,48,508800,20352,0.1506269654,325194,13007.76,0.2044687171,20739990,Arizona Conservatory for Arts and Academics,16,-112.1194892,33.63719477,1175,Arizona Conservatory for Arts and Academics,Maricopa,"Edkey, Inc. - Arizona Conservatory for Arts and Academics",Charter,0.094,0.116,0.044,0.073,0.066,30.587,0.105,2.031,7.000,0.050,0.000
50,11135107A,51,497902,19916.08,0.08042345682,328510,13140.4,0.1206082007,11135107A,Arizona School For The Arts,31,-112.0696892,33.46439479,1315,Arizona School For The Arts,Maricopa,Arizona School For The Arts,Charter,0.247,0.190,0.159,0.052,0.050,52.782,0.120,2.031,10.000,0.050,0.000
37,11352074,38,368185,14727.4,0.02738568926,296444,11857.76,0.03401316944,11352074,ASU Prep South Phoenix High School,37,-112.0555892,33.4050948,1355,ASU Prep South Phoenix High School,Maricopa,Phoenix Collegiate Academy High LLC,Charter,0.525,0.356,0.432,0.168,0.106,47.649,0.270,2.031,5.000,0.050,0.000
27,20606004A,28,10248108,409924.32,0.01547466127,8761886,350475.44,0.01806072346,20606004A,Barry Goldwater High School,17,-112.1198891,33.67739476,1178,Barry Goldwater High School,Maricopa,Deer Valley Unified District,District,0.177,0.222,0.122,0.189,0.064,62.793,0.200,2.031,10.000,0.050,0.000
32,30141345,33,624418,24976.72,0.02281484518,372670,14906.8,0.03822684949,30141345,BASIS Ahwatukee,52,-111.9753892,33.3541948,1593,BASIS Ahwatukee,Maricopa,"BASIS Schools, Inc.",Charter,0.302,0.219,0.109,0.106,0.081,56.128,0.125,2.031,11.000,0.050,0.000
49,30002001T,50,5217666,208706.64,0.02738810802,4437784,177511.36,0.03220120673,30002001T,Betty Fairfax High School,15,-112.1826642,33.37135749,1167,Betty Fairfax High School,Maricopa,Phoenix Union High School District,District,0.297,0.172,0.071,0.154,0.052,37.569,0.095,1.378,3.000,0.050,0.000
18,16315001,19,5514221,220568.84,0.03043185973,4512524,180500.96,0.03642972314,16315001,Camelback High School,43,-112.0223892,33.50389478,1445,Camelback High School,Maricopa,Phoenix Union High School District,District,0.190,0.228,0.081,0.138,0.181,70.678,0.182,2.031,8.000,0.050,0.000
7,10801181,8,330337,13213.48,0.01898364398,216416,8656.64,0.02792769481,10801181,Career Success High School,18,-112.1175892,33.49169479,1191,Career Success High School,Maricopa,Career Success Schools,Charter,0.359,0.228,0.283,0.137,0.022,25.163,0.191,2.031,6.000,0.050,0.000
9,10923001,10,5110994,204439.76,0.02583822247,3819424,152776.96,0.03418630663,10923001,Carl Hayden High School,13,-112.1323892,33.45679479,1152,Carl Hayden High School,Maricopa,Phoenix Union High School District,District,0.649,0.369,0.407,0.218,0.036,46.534,0.327,2.031,9.000,0.050,0.000
24,15524001B,25,6282169,251286.76,0.02073519512,5340350,213614,0.02372410048,15524001B,Central High School,27,-112.0732892,33.50249478,1280,Central High School,Maricopa,Phoenix Union High School District,District,0.339,0.255,0.230,0.094,0.099,69.494,0.198,2.031,9.000,0.050,0.000
26,15725119,27,193876,7755.04,0.04275928944,143880,5755.2,0.05296080067,15725119,Cornerstone Charter School,19,-112.1116892,33.54099478,1196,Cornerstone Charter School,Maricopa,"Cornerstone Charter School,Inc",Charter,0.404,0.268,0.331,0.162,0.048,50.165,0.276,2.031,8.000,0.050,0.000
22,15010004A,23,4003089,160123.56,0.02367271874,3152703,126108.12,0.02756301497,15010004A,Cortez High School,41,-112.1267726,33.56706937,1440,Cortez High School,Maricopa,Glendale Union High School District,District,0.484,0.299,0.395,0.171,0.061,42.633,0.270,2.031,10.000,0.050,0.000
35,21440011B,36,293627,11745.08,0.05577824928,219966,8798.64,0.07355682242,21440011B,Crestview College Preparatory High School,42,-112.0258892,33.62679477,1444,Crestview College Preparatory High School,Maricopa,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,Charter,0.425,0.321,0.326,0.232,0.089,58.838,0.249,2.031,10.000,0.050,0.000
41,20613101A,42,856032,34241.28,0.06441347987,713386,28535.44,0.06960607581,20613101A,Desert Heights Preparatory Academy,46,-112.1361891,33.65519477,1530,Desert Heights Preparatory Academy,Maricopa,Desert Heights Charter Schools,Charter,0.137,0.168,0.148,0.114,0.061,39.853,0.141,2.031,6.000,0.050,0.000
29,20723539,30,447454,17898.16,0.0303919509,362264,14490.56,0.03491652497,20723539,E-Institute at Grovers,14,-112.1620891,33.64829477,1166,E-Institute at Grovers,Maricopa,"E-Institute Charter Schools, Inc.",Charter,0.221,0.207,0.105,0.134,0.101,59.373,0.167,2.031,6.000,0.050,0.000
38,11118144A,39,517234,20689.36,0.05995545536,380282,15211.28,0.08153685949,11118144A,Franklin Police and Fire High School,23,-112.0950892,33.46549479,1231,Franklin Police and Fire High School,Maricopa,Phoenix Union High School District,District,0.289,0.212,0.163,0.139,0.058,48.311,0.167,2.031,7.000,0.050,0.000
